Average_Temperature_C,Total_Precipitation_mm,Soil_Health_Index,Crop_Type,Adaptation_Strategies,Crop_Yield_MT_per_HA,Economic_Impact_Million_USD
0.5548,0.277,0.9644,Coffee,Water Management,0.3875,0.1296
0.4925,0.7408,0.6775,Barley,Drought-resistant Crops,0.4596,0.4806
0.8186,0.5268,0.9512,Soybeans,No Adaptation,0.6363,0.6467
0.4294,0.5174,0.3168,Wheat,Water Management,0.3182,0.3896
0.8909,0.5112,0.0261,Cotton,Crop Rotation,0.6282,0.2007
0.7077,0.5507,0.4346,Fruits,No Adaptation,0.0649,0.1382
0.519,0.757,0.2654,Corn,Drought-resistant Crops,0.7539,0.7081
0.7407,0.4084,0.7316,Vegetables,No Adaptation,0.4884,0.2182
0.5763,0.0682,0.1115,Rice,Crop Rotation,0.7883,0.4277
0.9772,0.6311,0.2852,Coffee,Drought-resistant Crops,0.5391,0.2609
0.0303,0.1781,0.7159,Vegetables,No Adaptation,0.1682,0.091
0.7155,0.3885,0.324,Vegetables,Crop Rotation,0.229,0.1187
0.4637,0.9637,0.6307,Vegetables,Water Management,0.696,0.5668
0.6281,0.5455,0.6572,Barley,Water Management,0.689,0.7356
0.2683,0.6842,0.8053,Corn,Drought-resistant Crops,0.5587,0.1571
0.2207,0.3499,0.3435,Soybeans,Water Management,0.1961,0.1399
0.5583,0.4072,0.0904,Fruits,No Adaptation,0.6735,0.5074
0.7395,0.3618,0.7878,Barley,Organic Farming,0.5722,0.5933
0.0153,0.7478,0.9614,Vegetables,No Adaptation,0.4783,0.3679
0.8391,0.7848,0.0145,Corn,Organic Farming,0.3853,0.1024
0.4219,0.4162,0.6881,Rice,Water Management,0.8379,0.7807
0.725,0.8936,0.6826,Fruits,Organic Farming,0.1601,0.2334
0.8596,0.115,0.3103,Fruits,Drought-resistant Crops,0.1263,0.1079
0.7955,0.4634,0.3445,Barley,No Adaptation,0.1723,0.2015
0.7788,0.1161,0.6293,Barley,No Adaptation,0.5918,0.4192
0.1504,0.2788,0.901,Corn,No Adaptation,0.1826,0.0983
0.2525,0.2769,0.1367,Coffee,Crop Rotation,0.2434,0.0965
0.1639,0.4876,0.3796,Corn,Water Management,0.4073,0.3281
0.6009,0.0992,0.2852,Coffee,No Adaptation,0.3567,0.1286
0.8831,0.6215,0.003,Coffee,Organic Farming,0.5188,0.1477
0.7675,0.8147,0.5617,Fruits,Organic Farming,0.732,0.4979
0.9367,0.7316,0.123,Vegetables,Crop Rotation,0.7388,0.1945
0.1289,0.1946,0.5881,Vegetables,No Adaptation,0.2087,0.2447
0.1924,0.924,0.0287,Sugarcane,No Adaptation,0.3447,0.3463
0.3306,0.5918,0.7532,Wheat,No Adaptation,0.3673,0.3969
0.6822,0.5626,0.4369,Soybeans,Crop Rotation,0.2939,0.2613
0.0708,0.9964,0.1313,Fruits,Crop Rotation,0.2898,0.3057
0.471,0.7601,0.4564,Rice,Water Management,0.4215,0.3931
0.2437,0.8881,0.2588,Rice,Crop Rotation,0.3891,0.2457
0.8674,0.8666,0.2011,Coffee,Drought-resistant Crops,0.732,0.5332
0.1969,0.4439,0.1966,Barley,No Adaptation,0.2331,0.2437
0.0753,0.3439,0.071,Barley,Water Management,0.4618,0.3333
0.5518,0.7009,0.1549,Barley,Water Management,0.6983,0.4185
0.3539,0.9335,0.4585,Barley,Organic Farming,0.1925,0.1295
0.9795,0.0161,0.594,Vegetables,Organic Farming,0.2533,0.274
0.7868,0.0609,0.6561,Sugarcane,No Adaptation,0.533,0.448
0.1114,0.8257,0.2059,Wheat,Drought-resistant Crops,0.1421,0.0581
0.3076,0.4559,0.0099,Cotton,Crop Rotation,0.2975,0.2044
0.758,0.611,0.7839,Rice,Water Management,0.1939,0.0519
0.717,0.098,0.3677,Coffee,Crop Rotation,0.1783,0.1843
0.9384,0.5014,0.8491,Barley,Drought-resistant Crops,0.5316,0.4051
0.1994,0.9354,0.9066,Wheat,Water Management,0.1439,0.1004
0.1334,0.1161,0.8663,Rice,Organic Farming,0.0547,0.0482
0.3166,0.5786,0.8306,Barley,Crop Rotation,0.1151,0.023
